"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"1";"many joined the free papua movement ( opm ) , the rebel army that claims to defend the rights of the papuans by launching sporadic attacks and kidnapping raids on indonesian soldiers .";"many of them have joined the death of mr papua ( vi ) army , which , according to its own eyes , defends the rights of the victims , by attacking the brutality and abductions of the indonesian orthodox church .";"8.556599"
"2";"maria doesn ’ t also accept the fashion custom that fashion designs have to be presented by a twiggy supermodel ; she is happy to bring ordinary women on to the catwalk .";"mrs maria also does not recognise the fact that creativity must be presented as a super - smoded superse , he is , at the very least , the ordinary women who are born .";"3.930770"
"3";"they ask the reporters to suggest names for each column - no proof is needed , perceptions and gut feelings are enough .";"they are asking reporters to provide evidence of steril evidence of the strings , the impression is enough and internal sense .";"4.936060"
"4";"at this high - level competition , she bested her own top result in the shot put by close to a metre ( 13.89 ) and ran a near - record in the hurdles .";"in a high level of competition , she improved on the altar of a personal excellence in the compartmentation of peat , and on the ground , on the ground , on the ground , and on the ground , on the ground , on the ground .";"4.520446"
"5";""" the court of public opinion has usurped regulators , "" said patrick quinlan , the founder and chief executive of convercent .";"opposition has been an anchored by the regulatory authorities , which said that converging and the head of the bovery leader , patrick martínez .";"2.678425"
"6";"in estonia ’ s all - time rankings , gold rose to third and her latest personal best is the fifth all - time estonian result .";"estonia rose from all the ages in the south , and his fresh brand of personal excellence is the result of all the timelessness of estonia .";"4.344109"
"7";"gobai says the paniai people , like other papuans , consider their vote to jokowi as a "" debt "" he must repay .";"according to goba , the people of bankia , like others , have to take their vote on jokowicz , a debt that he has to pay .";"4.970745"
"8";"for example in setomaa , meat was salted , but here it was just frozen .";"for example , meat production in setoland was found , but there was simply a freeze here .";"8.657108"
"9";"unlike most fashion hits , straw bags are not from some big fashion mecca but their origins lie further off .";"on the various sides of the vast majority of mounts , the trend towards the spread of the motivators does not come from a few big mounts , but their stories were far more remote .";"2.804860"
"10";"by studying its skin , researchers found that this plant - eater , though covered in armor and resembling a walking tank , likely faced a significant threat from meat - eating dinosaurs .";"it found that the plant feedstuffs found that the plant ' s plant , who is covered by the sexes and recalls of the trend , were likely to significantly threatened by meat food stuffs .";"3.140399"
"11";"your partner betrayed you and spent the night with someone else .";"susolide was born and water is born at the second night .";"4.789232"
"12";"what is left here is astonishing .";"what is only here , it is string .";"11.990148"
"13";"if you take too big a sip , your system is oversaturated .";"if you are too high on the ground , the system is over - the - art .";"6.986768"
"14";"in the morning , it ’ s a disgusting scene everywhere .";"the distribution is a half - hearted picture everywhere .";"8.171014"
"15";"for example the latest court decisions , the eight accused to be tried separately from the so - called dikajev crime organization criminal case , from whom 80,000 euros was confiscated , or the court decision with regard to nine persons accusing igor aleynikov of establishing in 2006 a crime organization engaged in illegal trade in contraband cigarettes and commission of crimes related to human smuggling in ida - viru county and southern estonia .";"for example , the last judgments , the detention of eight accused of the crime of the dikajestriction in the crime prevention community , who confiscated an offence of eur 80 000 , or the court judgment of nine individuals in 2006 , created a criminal community that was aimed at the illegal trafficking of pakistanis and crimes in the south - east of the south .";"6.184981"
"16";"fossilized remnants of skin still cover the bumpy armor plates dotting the animal ' s skull .";"mountainations of the skins of the orthodox population continue to be fed up on the side of the emerging sexes .";"2.568332"
"17";"barcelona has been paid 222 million euros ( $ 262 million ) just to buy the brazilian out of his contract and neymar will command a salary that will run to tens of millions of dollars a year .";"barcelona paid eur 1 million million for the distribution of eur inflicted on the distribution of eur 5 million ) alone , for the fact that the compilation of his treaty is to be bought out , and the emergence of neymay will extend to tens of millions a year .";"9.260091"
"18";"here are some of the financial aspects of neymar ' s move to france .";"here some of the financial aspects of the emergence of the neymayr french club are the ones .";"29.282980"
"19";"no doubt so that wealthier customers don ’ t have to feel that they are mere mortals promenading around with some cheap bags .";"obviously , the richer customers should not feel like the ordinary creators , the proponents of some cheap low - cost movements .";"3.964950"
"20";"it could be clearly see that the dreadlocked musicians wearing ripped clothing were backpacker vagabonds who would really benefit from a shower .";"it was clear to see that the emergence of ferences and the spreads were the rest of the stack born , who would be one shot in the streets .";"6.730901"
"21";"leis added that central criminal police officials assisted in the spanish arrests .";"it was pointed out that the middle - level police were helped in the detention of spain .";"5.401157"
"22";""" we ' re going to ferguson right now because the police killed an 18 - year - old boy and it wasn ' t right .";"we are currently rowing the row , because a boy who was killed by the police , and that is not right in the row .";"4.049220"
"23";"in competitive markets such as silicon valley , high salaries and interesting projects are merely table stakes .";"the distribution of the rows in the markets , such as siliber valley , are high pay and interesting projects are merely contributions on the table .";"18.598827"
"24";"in total , 1,968 people received a residence permit for the purpose of settling in estonia , also including 23 americans , 12 egyptians , 18 georgians and just as many chinese .";"a total number of young people were living in estonia for a residence permit for the purpose of assimilation , among them 23 brains , 12 eps , 18 glaciers , and the same many chinese .";"24.603328"
"25";"because the experience that listeners get in this sublime and mysterious environment makes human spirits resonate and touches human senses in a way that can ’ t be described .";"because the experience that the audience gets in this fierce and secret environment makes human trawlers and concerns people ' s brains in a way that cannot be described .";"24.516098"
"26";"what happened , to ferrell and to ferguson in the following almost three years is the subject of a new documentary , "" whose streets ? , "" in theaters aug . 11.";"what is the emergence of and the competison in the next three years is the central issue of the emergence of a new document on the rise in the spread of the row of the row of the rows in the row today , which is the result of 11 august .";"7.891603"
"27";"that brings me to maryland gov . larry hogan , who needs to work on being more like washington .";"this brings me to the communicating of the communist trend , to holy , who has to be struggling to be more in washington .";"8.774910"
"28";"she describes the socio - political atmosphere of the area she calls home simply : "" a mess . """;"he describes the emergence of social housing in a region that he calls home , simply for the spread of the threat .";"6.312749"
"29";"and even if she promised anonymity , some workers didn ' t trust the process .";"and even if he promised to guarantee anonymity , some workers did not trust this process .";"24.264383"
"30";"he chafed at the criticism , sure .";"the criticism was , of course , irritating him .";"9.980099"
"31";"reigo chuckles that if one were to visit all the recommended places in tapa , one would get hungry , but luckily the small city is full of cafes .";"restoring that , if we have all the proposed sites to go through , there will be a long start on the ground , but happiness will be full of the rottens .";"4.626647"
"32";""" once a country owns a club , everything is possible .";"as a club belonging to a country , everyone is possible .";"19.156929"
"33";"as well as matic , fellow new signings victor lindelof and romelu lukaku also started the game at the aviva stadium as mourinho started to shape his starting xi for the start of the season .";"like mavitics , in the initial formation of avine plant , other new stems from the beginning of the avine plant , victor victories and rome luka , and mourin began to lay down the beginning of a single set of evidence .";"2.610269"
"34";"prep , if targeted properly at those in need and at risk , offers the possibility of transforming the english hiv epidemic .";"madam president , when it is targeted properly for those who need it and belong to the risk group , it offers the opportunity to change the hiv burden of england .";"4.487550"
"35";"the people living in the beach area go somewhere else for that time , to visit friends or family .";"the population of the population of the latter has been travelling somewhere by the time , whether the sexes or those who are born .";"4.120278"
"36";"it was a really special time and one we will always cherish . """;"you had a very special time , which we always bear in our hearts .";"6.917184"
"37";"these four top models of smartphones will go on sale only this autumn .";"these four of the top generators will reach the peak trend in autumn of this year .";"6.468491"
"38";"giving the perception of a more glamorous space , the beauty of the living room is being able to close off the kitchen when it ' s not in use .";"life adds a magic wand to shut down the distribution of mouths if it is not used , creating a space of imaginative light bulbs .";"2.170561"
"39";"at the turn of the century , one in ten vienna residents was jewish .";"the exchanges of the flower had ended up in almost every ten of the population of vienna .";"5.875148"
"40";"i was shown this apartment in earls court and it had the same high ceilings .";"it seemed to me to be felt by the court of auditors , and it had the same high hurdles .";"24.043155"
"41";"aluminium has increased in price by 13 per cent this year , as growing demand from auto makers has led to a market deficit .";"13 % of the population is born today , while increasing demand for car manufacturers has led to the market gains .";"7.168761"
